rank,experiment,kind,evaluation_role,agreement,path_agreement,level_1_agreement,level_2_agreement,level_3_agreement,macro_f1,level_1_macro_f1,level_2_macro_f1,level_3_macro_f1,correct,total,assigned,needs_review,unassigned,notes
1,topdown_tfidf_logreg_loo,topdown_hierarchical_classifier,baseline agreement,0.5528455284552846,0.5528455284552846,0.8211382113821138,0.7235772357723578,0.5528455284552846,0.3141392804462753,0.5034077034077035,0.34702592939706345,0.3141392804462753,68,123,123,0,0,Literature baseline: top-down local TF-IDF + logistic regression classifiers; leave-one-out.
2,flat_tfidf_svm_loo,flat_classifier,baseline agreement,0.5447154471544715,0.5447154471544715,0.8130081300813008,0.6829268292682927,0.5447154471544715,0.34247814733879034,0.5387643402349285,0.3478603371173031,0.3424781473387903,67,123,123,0,0,Literature baseline: flat TF-IDF + Linear SVM over Level 3 labels; leave-one-out.
3,topdown_tfidf_svm_loo,topdown_hierarchical_classifier,baseline agreement,0.5284552845528455,0.5284552845528455,0.8130081300813008,0.7154471544715447,0.5284552845528455,0.2859946779242028,0.4998729432691696,0.3436497804052283,0.2859946779242028,65,123,123,0,0,Literature baseline: top-down local TF-IDF + Linear SVM classifiers; leave-one-out.
4,flat_tfidf_logreg_loo,flat_classifier,baseline agreement,0.5203252032520326,0.5203252032520326,0.7804878048780488,0.6747967479674797,0.5203252032520326,0.3239418899588512,0.5079009284801299,0.3434240846872426,0.32394188995885115,64,123,123,0,0,Literature baseline: flat TF-IDF + logistic regression over Level 3 labels; leave-one-out.
5,hierarchical_alpha_0_7,hierarchical_embeddings,baseline agreement,0.4146341463414634,0.4146341463414634,0.6829268292682927,0.5284552845528455,0.4146341463414634,0.3872231202240583,0.5739121406138212,0.3861350846644964,0.3872231202240583,51,123,122,0,0,Whole-document hierarchical assigner; alpha=0.7.
6,hierarchical_alpha_1_0,hierarchical_embeddings,baseline agreement,0.4065040650406504,0.4065040650406504,0.6585365853658537,0.5365853658536586,0.4065040650406504,0.3424792139077854,0.558813079495364,0.3416870235620236,0.3424792139077853,50,123,121,0,0,Whole-document hierarchical assigner; alpha=1.0.
7,evidence_topk_1,chunk_evidence,baseline agreement,0.37398373983739835,0.37398373983739835,0.5609756097560976,0.4959349593495935,0.37398373983739835,0.4952672647046049,0.5142759916086735,0.4775908334348232,0.4952672647046049,46,123,82,24,17,Chunk-evidence assigner with local n-gram backend; top_k_chunks=1.
8,hierarchical_alpha_0_5,hierarchical_embeddings,baseline agreement,0.37398373983739835,0.37398373983739835,0.6666666666666666,0.5040650406504065,0.37398373983739835,0.364161220043573,0.5582382565079321,0.3805461661626045,0.364161220043573,46,123,122,0,0,Whole-document hierarchical assigner; alpha=0.5.
9,hierarchical_alpha_0_3,hierarchical_embeddings,baseline agreement,0.37398373983739835,0.37398373983739835,0.6666666666666666,0.4959349593495935,0.37398373983739835,0.3534979143172421,0.5420749744680574,0.3562148962148962,0.35349791431724203,46,123,122,0,0,Whole-document hierarchical assigner; alpha=0.3.
10,evidence_topk_2,chunk_evidence,baseline agreement,0.36585365853658536,0.36585365853658536,0.5772357723577236,0.4959349593495935,0.36585365853658536,0.4808251505730497,0.5739396371418843,0.5640849673202616,0.4808251505730497,45,123,87,19,17,Chunk-evidence assigner with local n-gram backend; top_k_chunks=2.
